2015年8月1日（土）,札幌,1,1,2,2,マカーオーン,4,7.3
2015年8月1日（土）,札幌,1,2,8,10,ショウザイシンホー,5,8.2
2015年8月1日（土）,札幌,1,3,7,7,インジャスティス,3,4.5
2015年8月1日（土）,札幌,1,4,6,6,ルミナスエレメント,1,2.8
2015年8月1日（土）,札幌,1,5,8,9,ジュアンマリエ,2,3.8
2015年8月1日（土）,札幌,1,6,1,1,コスモベガス,6,14.7
2015年8月1日（土）,札幌,1,7,7,8,ネクストヒロイン,8,94.4
2015年8月1日（土）,札幌,1,8,4,4,マイネルアクティヴ,9,142.9
2015年8月1日（土）,札幌,1,9,5,5,サフランナイト,10,235.2
2015年8月1日（土）,札幌,1,10,3,3,ジュンノキボウ,7,90.1
2015年8月1日（土）,札幌,2,1,2,2,シゲルハナガサ,4,8.0
2015年8月1日（土）,札幌,2,2,6,8,カワキタキャッスル,1,2.5
2015年8月1日（土）,札幌,2,3,7,9,トリアンドルス,3,6.1
2015年8月1日（土）,札幌,2,4,5,6,ラビットボーテ,5,10.5
2015年8月1日（土）,札幌,2,5,5,5,トーセンプリズム,8,25.2
2015年8月1日（土）,札幌,2,6,6,7,エビスフラワー,10,70.2
2015年8月1日（土）,札幌,2,7,4,4,サンエバレット,11,146.5
2015年8月1日（土）,札幌,2,8,7,10,イプノーズ,9,28.4
2015年8月1日（土）,札幌,2,9,3,3,ココロナルハ,2,4.3
2015年8月1日（土）,札幌,2,10,1,1,オーヴェール,6,10.9
2015年8月1日（土）,札幌,2,11,8,11,キョウワエルフ,12,391.7
2015年8月1日（土）,札幌,2,12,8,12,マジックベル,7,16.9
2015年8月1日（土）,札幌,3,1,6,6,セイカアヴァンサ,1,1.3
2015年8月1日（土）,札幌,3,2,5,5,ジャコバイティズム,2,5.2
2015年8月1日（土）,札幌,3,3,7,7,ハッスルカフェ,3,10.6
2015年8月1日（土）,札幌,3,4,4,4,ライブリファースト,5,17.1
2015年8月1日（土）,札幌,3,5,8,9,インディケーション,6,23.6
2015年8月1日（土）,札幌,3,6,2,2,オブストラクション,8,38.4
2015年8月1日（土）,札幌,3,7,3,3,スプリングストーム,7,35.9
2015年8月1日（土）,札幌,3,8,8,8,シャトーブリアン,4,15.6
2015年8月1日（土）,札幌,3,9,1,1,ハギノカイザー,9,41.6
2015年8月1日（土）,札幌,4,1,2,2,クレオール,5,16.4
2015年8月1日（土）,札幌,4,2,7,9,デュアルフレイム,2,3.4
2015年8月1日（土）,札幌,4,3,6,6,ディーエスレイザー,4,6.6
2015年8月1日（土）,札幌,4,4,4,4,ダンスオーレ,6,23.2
2015年8月1日（土）,札幌,4,5,5,5,ヴェルデプラート,8,29.1
2015年8月1日（土）,札幌,4,6,3,3,ラヴィダフェリース,3,4.9
2015年8月1日（土）,札幌,4,7,8,10,デュラブルシャーム,9,33.7
2015年8月1日（土）,札幌,4,8,7,8,パッショナート,7,25.1
2015年8月1日（土）,札幌,4,9,1,1,サトーリアス,1,2.7
2015年8月1日（土）,札幌,4,10,6,7,ヤマニンクラケット,11,132.7
2015年8月1日（土）,札幌,4,11,8,11,メイショウクニツグ,10,39.3
2015年8月1日（土）,札幌,5,1,5,7,ジープルメリア,5,10.9
2015年8月1日（土）,札幌,5,2,8,13,キャンディバローズ,1,2.1
